Train=True,epoch,epoch_examples,sample=(batch_idx * len(data)),loss,lr,rc
train,15,138552,0.587757,None,[0.0001],None
train,15,138774,0.613287,None,[0.0001],None
train,15,138996,0.626355,None,[0.0001],None
train,15,139218,0.661003,None,[0.0001],None
train,15,139440,0.632745,None,[0.0001],None
train,15,139662,0.533601,None,[0.0001],None
train,15,139884,0.639728,None,[0.0001],None
train,15,140106,0.706871,None,[0.0001],None
train,15,140328,0.686596,None,[0.0001],None
train,15,140550,0.641712,None,[0.0001],None
train,15,140772,0.681411,None,[0.0001],None
train,15,140994,0.664579,None,[0.0001],None
train,15,141216,0.684896,None,[0.0001],None
train,15,141438,0.610207,None,[0.0001],None
train,15,141660,0.570481,None,[0.0001],None
train,15,141882,0.682013,None,[0.0001],None
